employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-90048665,Ava,Gonzalez,Female,New York,New York City,2018-07-01,Customer Service,Customer Service Representative,Bachelor,56537,Good,No,1994-01-06,2020-06-28
00-81016525,Mason,Moore,Male,New York,Buffalo,2023-01-05,Operations,Logistics Coordinator,Bachelor,65001,Good,No,1977-04-09,2024-02-09
00-25374874,Sebastian,Rodriguez,Male,Illinois,Aurora,2022-05-13,Customer Service,Customer Service Representative,High School,57194,Satisfactory,No,1996-04-12,2022-11-09
00-24972279,Evelyn,Wilson,Female,Michigan,Warren,2017-01-02,Operations,Inventory Specialist,Bachelor,57931,Satisfactory,No,1977-12-17,2022-01-31
00-45351479,Jackson,Garcia,Male,New York,Buffalo,2020-02-11,Sales,Sales Specialist,PhD,79726,Needs Improvement,No,1974-09-09,2022-07-25
00-93926371,Logan,Taylor,Male,Michigan,Grand Rapids,2021-03-01,Customer Service,Customer Service Representative,High School,66833,Needs Improvement,No,1974-11-09,2024-11-11
00-60185867,Mia,Moore,Female,New York,Rochester,2024-12-24,IT,Software Developer,Bachelor,89076,Good,Yes,1983-01-26,2025-06-22
00-81182864,Liam,Martin,Male,New York,Rochester,2018-01-08,IT,IT Support Specialist,High School,64286,Good,No,1978-03-30,2022-12-05
00-25014631,Ethan,Martinez,Male,Pennsylvania,Pittsburgh,2017-04-04,Operations,Inventory Specialist,Bachelor,67009,Good,No,1987-12-08,2018-11-18
00-86149359,Ava,Williams,Female,New York,Buffalo,2022-11-13,Operations,Operations Analyst,Master,80282,Good,No,2003-12-06,2023-05-12
00-19289546,Sebastian,Jones,Male,New York,Buffalo,2016-07-03,IT,Software Developer,Bachelor,99398,Satisfactory,No,1977-11-04,2016-12-30
00-83793389,Benjamin,Rodriguez,Male,New York,Buffalo,2020-08-23,Finance,Financial Analyst,Master,64767,Good,No,2004-05-22,2024-02-25
00-66792612,Charlotte,Moore,Female,New York,Rochester,2022-09-25,Sales,Sales Specialist,PhD,72084,Good,No,1985-01-16,2023-03-24
00-36998038,Logan,Gonzalez,Male,New York,New York City,2024-09-09,Finance,Accountant,Bachelor,89214,Good,No,1983-04-26,2025-03-08
00-60119651,Daniel,Taylor,Male,Pennsylvania,Philadelphia,2019-04-07,Operations,Logistics Coordinator,Bachelor,67451,Good,No,1964-09-08,2019-10-04
00-40158366,William,Hernandez,Male,New York,Rochester,2015-08-04,Finance,Accountant,Bachelor,91223,Satisfactory,No,1982-07-04,2023-10-31
00-40885476,Mila,Davis,Female,New York,New York City,2015-10-02,Sales,Sales Consultant,PhD,112436,Satisfactory,No,1989-04-22,2023-08-21
00-94705205,Noah,Davis,Male,North Carolina,Charlotte,2016-01-13,Sales,Sales Representative,Bachelor,72632,Satisfactory,Yes,1971-06-26,2018-04-22
00-54349361,Ava,Taylor,Female,North Carolina,Greensboro,2017-09-17,Customer Service,Customer Service Representative,High School,58002,Satisfactory,No,2002-11-21,2018-03-16
00-75151231,Elijah,Moore,Male,New York,Buffalo,2017-12-30,Operations,Logistics Coordinator,Bachelor,66959,Satisfactory,Yes,1984-12-18,2018-06-28
00-86644106,Aiden,Thomas,Male,Illinois,Naperville,2017-07-03,Operations,Logistics Coordinator,Bachelor,61460,Excellent,No,1982-04-12,2023-03-21
00-64634663,Charlotte,Brown,Female,Michigan,Warren,2016-06-16,Operations,Operations Analyst,Bachelor,74281,Satisfactory,No,1991-12-08,2021-06-18
00-57553014,Michael,Wilson,Male,New York,Rochester,2019-10-11,Operations,Logistics Coordinator,Bachelor,65801,Good,No,1975-02-25,2023-05-03
00-17270733,James,Johnson,Male,Michigan,Detroit,2019-05-12,Operations,Operations Analyst,Bachelor,95103,Excellent,No,1971-12-04,2020-01-01
00-24665841,Lucas,Miller,Male,New York,Rochester,2017-06-24,IT,IT Support Specialist,Bachelor,61380,Good,No,1978-04-13,2017-12-21
00-28814949,Michael,Garcia,Male,New York,Rochester,2017-04-08,Sales,Sales Specialist,PhD,54873,Good,No,1977-03-21,2017-10-05
00-20117988,Daniel,Moore,Male,New York,Buffalo,2016-09-10,Operations,Inventory Specialist,High School,60341,Satisfactory,No,1975-12-30,2023-06-11
00-82556484,Emma,Williams,Female,New York,Buffalo,2024-11-25,Sales,Sales Specialist,Master,88735,Good,No,1960-05-08,2025-05-24
00-41726318,Mia,Wilson,Female,New York,Buffalo,2019-03-25,Sales,Sales Consultant,Bachelor,91048,Good,Yes,2002-06-25,2019-09-21
00-63826716,Noah,Garcia,Male,New York,Buffalo,2018-06-01,Customer Service,Customer Service Representative,Bachelor,60904,Satisfactory,No,1990-03-06,2023-07-13
00-45594951,Camila,Martinez,Female,North Carolina,Charlotte,2019-10-11,IT,Software Developer,Bachelor,74568,Satisfactory,No,1992-12-18,2020-04-08
00-84593961,Luna,Jones,Female,New York,Buffalo,2017-03-26,Operations,Inventory Specialist,High School,57306,Good,No,1986-08-18,2021-04-27
00-17849494,Mila,Moore,Female,New York,New York City,2016-05-01,Sales,Sales Specialist,PhD,70374,Good,No,1964-12-18,2024-11-01
00-17672593,Noah,Jackson,Male,New York,New York City,2019-12-24,Operations,Operations Analyst,Bachelor,82266,Satisfactory,No,1982-06-18,2020-06-21
00-81286543,Benjamin,Johnson,Male,New York,New York City,2024-02-01,Operations,Logistics Coordinator,Bachelor,59593,Needs Improvement,Yes,1985-08-01,2024-07-30
00-34941004,Ava,Martin,Female,New York,Buffalo,2016-11-30,Operations,Inventory Specialist,Bachelor,58065,Good,No,1997-08-20,2017-05-29
00-41568532,Ella,Brown,Female,New York,New York City,2024-08-09,Operations,Inventory Specialist,High School,58461,Satisfactory,No,1982-02-20,2025-02-05
00-43046464,Aiden,Martin,Male,New York,Buffalo,2015-02-01,Customer Service,Help Desk Technician,Bachelor,82570,Good,Yes,1972-10-25,2024-01-09
00-66267415,Mila,Jackson,Female,New York,New York City,2020-12-29,Sales,Sales Consultant,Bachelor,70364,Needs Improvement,No,1989-11-20,2022-12-19
00-44999379,Charlotte,Hernandez,Female,New York,Rochester,2017-06-03,Sales,Sales Consultant,Bachelor,92204,Satisfactory,No,1993-06-25,2017-11-30
00-27566185,Evelyn,Anderson,Female,New York,Buffalo,2018-10-19,Operations,Operations Analyst,Bachelor,83758,Needs Improvement,No,1966-01-25,2019-04-17
00-19736572,Liam,Anderson,Male,New York,New York City,2021-08-07,Sales,Sales Representative,Bachelor,70297,Good,No,1974-05-08,2022-12-11
00-23419256,William,Moore,Male,New York,Rochester,2017-04-13,Sales,Sales Consultant,Master,93820,Satisfactory,Yes,1965-01-28,2024-01-09
00-27778019,Ethan,Williams,Male,New York,Rochester,2023-05-24,Operations,Logistics Coordinator,Bachelor,60313,Good,Yes,1980-07-08,2023-11-20
00-48250360,Benjamin,Anderson,Male,New York,Rochester,2023-10-01,Sales,Sales Representative,Bachelor,74056,Good,No,1973-07-26,2024-03-29
00-50603163,Aria,Taylor,Female,New York,New York City,2015-11-14,Operations,Inventory Specialist,Bachelor,65123,Excellent,No,1978-09-14,2018-03-26
00-84437458,Logan,Brown,Male,New York,Rochester,2024-02-22,Customer Service,Support Specialist,High School,57719,Satisfactory,No,1989-08-21,2024-08-20
00-45496015,Isabella,Brown,Female,Ohio,Columbus,2022-03-02,Operations,Operations Analyst,Master,89721,Good,No,1993-10-12,2024-02-25
00-46553958,Logan,Martin,Male,Michigan,Detroit,2017-05-14,Sales,Sales Specialist,Master,59878,Good,No,1989-02-01,2023-10-22
00-37326368,Harper,Taylor,Female,Florida,Orlando,2019-12-18,IT,Software Developer,Master,87186,Good,No,1985-08-22,2020-06-15
00-16818112,Ava,Wilson,Female,New York,Rochester,2023-01-18,IT,System Administrator,Bachelor,69822,Satisfactory,Yes,1975-02-04,2023-07-17
00-10475894,Abigail,Jones,Female,New York,Buffalo,2021-04-12,IT,System Administrator,Bachelor,93054,Good,Yes,1997-03-06,2021-10-09
00-31687165,Daniel,Moore,Male,Pennsylvania,Philadelphia,2022-08-06,Sales,Sales Consultant,Master,76476,Good,No,1964-12-24,2024-10-13
00-11297845,Isabella,Williams,Female,New York,Rochester,2024-09-25,Sales,Sales Specialist,Bachelor,65043,Good,No,1986-07-23,2025-03-24
00-30005727,Avery,Johnson,Female,Pennsylvania,Pittsburgh,2023-08-15,IT,IT Support Specialist,Bachelor,54428,Satisfactory,No,1973-06-18,2024-02-11
00-84158663,Oliver,Wilson,Male,New York,New York City,2016-04-29,Sales,Sales Representative,Bachelor,77706,Satisfactory,No,1992-03-18,2023-01-08
00-58942697,Olivia,Lopez,Female,New York,New York City,2017-04-07,Customer Service,Customer Service Representative,High School,52093,Good,No,2004-05-25,2018-06-25
00-99514287,James,Lopez,Male,New York,Buffalo,2023-12-10,Operations,Logistics Coordinator,Bachelor,69216,Excellent,No,1973-11-15,2024-06-07
00-64543049,Aria,Jones,Female,New York,New York City,2024-04-01,HR,Recruiter,High School,60999,Satisfactory,Yes,1987-05-30,2024-09-28
00-31810617,Benjamin,Wilson,Male,New York,New York City,2015-10-14,IT,IT Support Specialist,Bachelor,74881,Good,No,1961-10-05,2024-10-24
00-54585178,Elizabeth,Davis,Female,Michigan,Grand Rapids,2017-11-02,Sales,Sales Specialist,Master,65631,Satisfactory,Yes,1998-11-06,2019-01-14
00-24508349,Jacob,Johnson,Male,New York,New York City,2023-03-28,IT,Software Developer,Bachelor,106393,Good,Yes,1976-02-06,2023-09-24
00-36786211,Daniel,Lopez,Male,New York,Buffalo,2018-11-05,Operations,Inventory Specialist,High School,62127,Good,No,1968-09-13,2019-05-04
00-40547349,Amelia,Smith,Female,New York,Rochester,2022-06-04,Marketing,SEO Specialist,High School,64799,Excellent,Yes,1994-07-02,2022-12-01
00-54058573,Mason,Williams,Male,New York,New York City,2024-04-18,Operations,Operations Analyst,Bachelor,71626,Good,Yes,1999-03-23,2024-10-15
00-57130035,Jackson,Gonzalez,Male,New York,Rochester,2022-11-24,Sales,Sales Representative,Bachelor,61115,Good,No,1973-11-03,2024-11-19
00-81969657,Alexander,Smith,Male,New York,Buffalo,2016-04-11,Sales,Sales Consultant,Bachelor,105903,Good,No,1965-09-16,2016-10-08
00-33966966,Aiden,Rodriguez,Male,New York,Rochester,2015-08-20,Customer Service,Help Desk Technician,High School,75414,Good,Yes,1973-05-02,2023-04-06
00-68326160,Ethan,Hernandez,Male,New York,Buffalo,2019-07-18,Operations,Inventory Specialist,High School,58409,Good,No,1980-09-16,2020-11-14
00-25521714,Jacob,Jackson,Male,New York,Buffalo,2017-01-18,Operations,Inventory Specialist,Bachelor,65481,Satisfactory,Yes,1983-09-15,2021-03-23
00-68526649,Emma,Taylor,Female,New York,Rochester,2024-07-28,IT,Software Developer,Bachelor,84943,Satisfactory,No,1984-03-27,2025-01-24
00-36445607,Ethan,Wilson,Male,New York,New York City,2016-09-14,Customer Service,Support Specialist,Bachelor,66474,Needs Improvement,No,1977-01-03,2021-03-14
00-54318698,Aria,Hernandez,Female,New York,Buffalo,2022-02-18,Customer Service,Help Desk Technician,High School,62854,Excellent,No,2003-02-07,2022-08-17
00-50308572,Sofia,Martinez,Female,New York,Rochester,2022-05-07,IT,System Administrator,Master,84837,Good,No,2002-06-17,2024-06-18
00-64009265,Logan,Moore,Male,New York,Buffalo,2016-06-12,Operations,Operations Manager,Bachelor,110352,Satisfactory,No,1960-03-02,2017-12-15
00-99245317,Ella,Garcia,Female,Ohio,Cleveland,2021-04-27,Sales,Sales Representative,Bachelor,56210,Satisfactory,No,1980-05-21,2022-07-06
00-64502486,Avery,Smith,Female,New York,New York City,2018-03-23,Operations,Logistics Coordinator,Bachelor,58054,Good,No,1982-10-28,2021-12-30
00-67698610,Aiden,Martin,Male,Michigan,Detroit,2022-06-30,Operations,Inventory Specialist,High School,58284,Needs Improvement,Yes,1984-08-27,2022-12-27
00-69295515,Camila,Miller,Female,New York,New York City,2020-11-04,Marketing,SEO Specialist,Bachelor,67606,Good,No,1986-08-15,2022-12-28
00-32775593,William,Martinez,Male,Michigan,Detroit,2020-09-02,Sales,Sales Specialist,Master,81866,Good,Yes,1983-09-12,2021-03-01
00-93115778,Alexander,Williams,Male,New York,Buffalo,2023-10-19,Operations,Logistics Coordinator,Bachelor,63201,Good,No,1988-07-30,2024-04-16
00-41523529,Logan,Davis,Male,New York,New York City,2023-02-27,IT,Software Developer,Bachelor,109646,Good,No,1965-05-18,2023-08-26
00-13278320,Noah,Davis,Male,New York,Rochester,2024-08-25,Customer Service,Help Desk Technician,Bachelor,99805,Good,No,1970-10-22,2025-02-21
00-19774839,Daniel,Wilson,Male,New York,Rochester,2023-08-12,Customer Service,Support Specialist,High School,64967,Satisfactory,Yes,1981-02-15,2024-02-08
00-36096655,Ella,Thomas,Female,Virginia,Richmond,2019-02-27,Sales,Sales Consultant,PhD,89797,Needs Improvement,No,1984-05-05,2020-11-06
00-98054615,Liam,Brown,Male,New York,New York City,2023-03-26,IT,Software Developer,Bachelor,86800,Satisfactory,Yes,2003-07-24,2024-09-11
00-33607110,Sofia,Anderson,Female,Ohio,Cleveland,2016-04-06,Operations,Inventory Specialist,High School,57685,Excellent,No,1976-02-13,2018-07-10
00-26288475,Daniel,Jones,Male,Pennsylvania,Allentown,2023-09-17,Sales,Sales Representative,Bachelor,77120,Satisfactory,No,1977-07-29,2024-03-15
00-81287314,Sebastian,Martin,Male,New York,Buffalo,2018-10-21,Operations,Operations Analyst,Bachelor,73756,Good,No,1984-06-29,2022-06-26
00-69401199,Aria,Taylor,Female,New York,Rochester,2019-12-19,IT,IT Support Specialist,High School,56468,Good,No,1981-08-14,2024-08-14
00-83534128,Daniel,Garcia,Male,New York,New York City,2022-07-04,Marketing,Marketing Manager,PhD,93062,Good,No,1982-07-31,2022-12-31
00-70407340,Mason,Davis,Male,Virginia,Virginia Beach,2023-04-18,IT,Software Developer,Bachelor,108233,Excellent,No,1975-06-27,2024-12-20
00-79967676,Luna,Davis,Female,Michigan,Grand Rapids,2017-01-31,Operations,Logistics Coordinator,Bachelor,62605,Satisfactory,No,1977-03-12,2021-04-23
00-48349783,Lucas,Rodriguez,Male,New York,Buffalo,2018-12-13,Marketing,Marketing Coordinator,Bachelor,66494,Excellent,No,1976-09-17,2019-06-11
00-82498004,William,Jones,Male,Michigan,Detroit,2017-05-29,Sales,Sales Representative,Bachelor,73399,Excellent,No,1997-03-27,2018-11-01
00-30509175,Elijah,Williams,Male,New York,New York City,2019-05-09,Sales,Sales Specialist,Master,79216,Satisfactory,Yes,1987-03-10,2021-05-05
00-82828034,Daniel,Wilson,Male,New York,New York City,2016-11-19,Operations,Logistics Coordinator,Bachelor,70558,Needs Improvement,No,1998-12-27,2021-11-05
00-66390708,Jacob,Jackson,Male,New York,Rochester,2024-01-08,Sales,Sales Specialist,Bachelor,62476,Good,No,2004-07-17,2024-07-06
00-87267850,Jacob,Thomas,Male,New York,Rochester,2015-05-17,Sales,Sales Specialist,PhD,81262,Satisfactory,No,1980-02-25,2017-05-29
00-50079111,Jacob,Wilson,Male,New York,New York City,2020-10-12,Sales,Sales Specialist,Master,56500,Satisfactory,No,1999-10-18,2021-04-10
00-83300637,Aria,Davis,Female,Ohio,Cleveland,2019-04-16,Customer Service,Support Specialist,Bachelor,56806,Satisfactory,Yes,1995-12-02,2019-10-13
00-68496914,Luna,Smith,Female,North Carolina,Greensboro,2018-09-17,Operations,Operations Analyst,Master,87830,Satisfactory,No,1972-06-16,2023-01-16
00-64266464,Benjamin,Anderson,Male,New York,New York City,2024-08-29,Sales,Sales Manager,PhD,111159,Satisfactory,No,1993-12-03,2025-02-25
00-81688860,Emma,Gonzalez,Female,New York,Rochester,2020-09-14,Sales,Sales Representative,Bachelor,64637,Needs Improvement,No,1981-05-18,2021-03-13
00-13637575,Ava,Wilson,Female,Virginia,Norfolk,2017-06-29,Operations,Logistics Coordinator,Bachelor,57725,Needs Improvement,Yes,1989-12-29,2017-12-26
00-34391257,Olivia,Rodriguez,Female,New York,Buffalo,2018-03-24,IT,System Administrator,Master,93243,Good,No,1980-10-15,2018-09-20
00-71028710,Alexander,Hernandez,Male,New York,Buffalo,2022-05-28,Marketing,SEO Specialist,Bachelor,73140,Good,No,2004-12-07,2022-11-24
00-47346970,Michael,Rodriguez,Male,New York,Rochester,2023-07-02,IT,IT Support Specialist,High School,58380,Good,No,1984-01-13,2023-12-29
00-12601580,Avery,Johnson,Female,New York,Rochester,2024-05-15,Customer Service,Help Desk Technician,High School,57543,Needs Improvement,Yes,1982-03-09,2024-11-11
00-40094589,Ava,Johnson,Female,Michigan,Detroit,2022-04-07,Operations,Logistics Coordinator,Bachelor,62773,Good,No,1972-10-15,2024-06-29
00-36757737,Emma,Martin,Female,New York,Rochester,2017-02-19,Operations,Operations Analyst,Master,91347,Satisfactory,Yes,1972-06-05,2021-08-16
00-73560289,James,Jackson,Male,New York,Buffalo,2024-06-29,Customer Service,Help Desk Technician,High School,78420,Satisfactory,No,1964-10-14,2024-12-26
00-44392446,Emily,Garcia,Female,New York,Rochester,2021-10-18,Sales,Sales Specialist,Master,69748,Good,No,2001-05-15,2022-04-16
00-25372341,Mia,Martinez,Female,New York,Rochester,2016-01-10,Operations,Inventory Specialist,Bachelor,57094,Good,No,1966-10-25,2024-09-28
00-51870192,Aiden,Gonzalez,Male,New York,Buffalo,2019-10-05,IT,Software Developer,Master,81096,Satisfactory,Yes,1976-05-31,2020-04-02
00-36619372,Ava,Jackson,Female,New York,Buffalo,2022-09-01,Sales,Sales Consultant,Master,95224,Good,No,1991-04-08,2023-02-28
00-42594692,Isabella,Martinez,Female,Ohio,Columbus,2023-08-22,Operations,Operations Analyst,Bachelor,73301,Good,Yes,1998-12-10,2024-02-18
00-26247735,Mila,Johnson,Female,New York,Buffalo,2018-06-16,Sales,Sales Representative,Bachelor,57436,Good,No,1993-05-12,2020-12-13
00-98787891,Ethan,Williams,Male,New York,Rochester,2020-05-12,HR,Recruiter,Bachelor,75919,Satisfactory,No,1986-06-13,2022-10-17
00-11698142,Elizabeth,Thomas,Female,Ohio,Columbus,2016-05-20,Marketing,Marketing Coordinator,Bachelor,66982,Needs Improvement,No,2000-08-22,2020-06-23
00-95306788,Daniel,Jones,Male,Michigan,Warren,2019-10-12,Sales,Sales Specialist,PhD,64383,Excellent,No,1975-09-03,2020-04-09
00-80027662,Mason,Martin,Male,New York,Buffalo,2023-07-29,HR,HR Assistant,Bachelor,67964,Good,Yes,1992-07-28,2024-01-25
00-74893936,Daniel,Wilson,Male,Michigan,Detroit,2023-08-19,Operations,Logistics Coordinator,Bachelor,61909,Satisfactory,Yes,1992-07-21,2024-02-15
00-46023439,Abigail,Davis,Female,New York,New York City,2023-02-03,Operations,Operations Manager,Master,117661,Good,No,1974-02-09,2023-08-02
00-47437115,Daniel,Davis,Male,Florida,Tampa,2022-08-10,Marketing,Content Creator,High School,66630,Good,Yes,1987-05-02,2023-02-06
00-91917334,Ella,Hernandez,Female,New York,Rochester,2015-11-27,Operations,Logistics Coordinator,Bachelor,52630,Satisfactory,Yes,1993-10-05,2023-08-17
00-53622663,Mia,Thomas,Female,New York,New York City,2017-11-06,Operations,Operations Manager,Master,98876,Good,No,1964-10-01,2019-09-23
00-44675473,Abigail,Rodriguez,Female,Pennsylvania,Philadelphia,2023-09-30,Finance,Accounts Payable Specialist,Bachelor,60514,Good,No,1996-08-11,2024-03-28
00-47080140,Avery,Smith,Female,New York,Buffalo,2020-03-15,Sales,Sales Representative,Bachelor,62318,Needs Improvement,Yes,1997-06-25,2020-09-11
00-21490777,Amelia,Wilson,Female,Michigan,Detroit,2019-10-22,Operations,Logistics Coordinator,Bachelor,53126,Excellent,No,1984-11-16,2020-04-19
00-42255732,Luna,Thomas,Female,New York,New York City,2019-01-07,Customer Service,Support Specialist,High School,63461,Good,No,1981-06-24,2019-07-06
00-22489409,Logan,Davis,Male,New York,New York City,2019-04-05,Operations,Logistics Coordinator,Bachelor,68454,Satisfactory,No,1987-01-09,2021-10-15
00-51098277,Mila,Lopez,Female,New York,New York City,2019-07-26,Operations,Operations Analyst,Bachelor,53104,Satisfactory,No,1998-01-18,2021-11-05
00-56138336,Michael,Moore,Male,New York,New York City,2018-09-30,Sales,Sales Consultant,Bachelor,89205,Satisfactory,No,1971-12-29,2019-03-29
00-70900658,Mason,Martinez,Male,New York,New York City,2017-02-16,Marketing,Content Creator,High School,60444,Good,No,1999-10-26,2018-08-10
00-35848226,Abigail,Brown,Female,New York,Rochester,2022-10-24,Sales,Sales Specialist,PhD,78980,Good,No,1990-02-16,2023-04-22
00-34850391,Charlotte,Miller,Female,North Carolina,Greensboro,2022-04-18,Sales,Sales Specialist,Master,64138,Good,No,2003-12-24,2022-10-15
00-89133014,Sofia,Martin,Female,New York,Buffalo,2017-02-09,Sales,Sales Specialist,PhD,81284,Good,No,1961-07-08,2019-11-26
00-36054020,Logan,Davis,Male,New York,Buffalo,2018-04-28,IT,Software Developer,Bachelor,110553,Good,No,1973-11-01,2021-10-29
00-11898961,Avery,Jones,Female,New York,New York City,2017-01-22,Customer Service,Support Specialist,Bachelor,62862,Excellent,No,1987-06-27,2021-12-15
00-84270583,Evelyn,Jones,Female,New York,Buffalo,2021-10-20,Customer Service,Customer Service Representative,Bachelor,59222,Good,No,1997-07-24,2022-04-18
00-75884623,Isabella,Smith,Female,New York,Rochester,2020-07-01,Operations,Operations Manager,Bachelor,90352,Good,No,1975-08-16,2020-12-28
00-74251933,Camila,Hernandez,Female,Illinois,Aurora,2017-01-20,Customer Service,Help Desk Technician,High School,81676,Good,No,1996-09-20,2020-07-25
00-43887075,Henry,Brown,Male,New York,New York City,2023-06-05,Operations,Logistics Coordinator,Bachelor,60587,Good,Yes,1989-04-07,2023-12-02
00-76001106,Ava,Jackson,Female,New York,Buffalo,2021-01-21,Operations,Logistics Coordinator,Bachelor,56861,Good,Yes,1994-03-14,2021-07-20
00-30364454,Sophia,Jackson,Female,New York,Rochester,2024-02-03,HR,Recruiter,High School,60510,Good,Yes,2004-04-16,2024-08-01
00-43311626,Isabella,Moore,Female,New York,New York City,2022-08-24,Sales,Sales Specialist,Bachelor,77838,Good,No,1989-10-16,2023-02-20
00-90010790,Aria,Davis,Female,New York,Buffalo,2023-05-28,Sales,Sales Representative,Bachelor,58541,Satisfactory,No,1970-12-23,2023-11-24
00-70467027,Daniel,Martinez,Male,New York,New York City,2023-06-16,Operations,Logistics Coordinator,Bachelor,58020,Good,No,2001-11-30,2023-12-13
00-50987442,Mila,Martin,Female,Virginia,Richmond,2016-10-14,Sales,Sales Consultant,PhD,92766,Good,No,1969-07-06,2021-08-03
00-23318904,Elijah,Miller,Male,New York,Buffalo,2017-02-01,Sales,Sales Representative,Bachelor,62422,Good,No,1973-10-30,2022-03-22
00-31079846,Amelia,Garcia,Female,New York,Rochester,2020-03-01,Sales,Sales Consultant,Master,76743,Satisfactory,No,1980-04-06,2024-12-08
00-10359129,Michael,Anderson,Male,New York,Buffalo,2022-07-02,Operations,Operations Analyst,Master,58055,Satisfactory,No,1972-07-15,2024-06-12
00-49092160,Olivia,Davis,Female,New York,New York City,2017-04-20,Marketing,Content Creator,Bachelor,54606,Satisfactory,No,1987-01-08,2018-12-14
00-70939053,Ava,Davis,Female,Michigan,Warren,2024-11-01,HR,HR Coordinator,Bachelor,64688,Good,No,1985-03-01,2025-04-30
00-93893865,Aiden,Miller,Male,New York,Buffalo,2019-07-31,Customer Service,Customer Service Representative,Bachelor,73488,Satisfactory,Yes,1968-10-23,2021-11-24
00-40173413,Oliver,Rodriguez,Male,New York,New York City,2023-01-28,Finance,Financial Analyst,Bachelor,95340,Satisfactory,Yes,1968-05-25,2024-08-27
